Platform,Post ID,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Gender,Audience Location,Audience Interests,Home_Reach,Explore_Reach,Hashtag_Reach,Username
Facebook,ce8f74e2-82a5-4bc9-980c-044434d67632,Link,Affect cell low shoulder Mr might cup see.,2023-06-03 22:21:14.224,82,397,8,6621,3944,12.35,23,Female,Cyprus,crime,2174,406,114,John_79
Facebook,66f56c2e-b673-45c7-863d-78b30d3565c8,Video,Front agency would store movie author.,2022-03-04 03:59:17.304,891,271,0,7506,2664,43.62,41,Other,Brazil,myself,967,85,69,pokemon_79
Facebook,9e2ec254-c509-4603-a2a9-9a52010fd771,Link,Current over off certainly edge.,2022-03-23 06:39:01.536,100,235,161,7702,2674,18.55,23,Male,Antigua and Barbuda,continue,1155,304,175,Daniel_6
Facebook,8657bdfa-b6ee-4123-815d-d54473974c3c,Video,Doctor increase easy second left significant.,2023-04-13 18:26:09.311,303,200,128,4025,656,96.19,21,Female,Uganda,final,7,11,1,Michael_1989
Facebook,205c3520-0272-42a6-98d4-168c6113c372,Image,Bar clearly camera share network authority road.,2022-02-07 11:12:03.094,243,138,172,3475,1251,44.2,56,Other,Saudi Arabia,sort,136,72,321,silver_saint_26
Facebook,7b9eb9e5-90fd-4e1e-bcab-3870695acfe8,Image,Summer eight PM dog make.,2024-02-11 22:31:13.017,14,466,114,9067,3404,17.45,59,Male,Hungary,answer,311,1184,452,anyway_669
Facebook,92792fbe-51e0-4684-8b11-f4715f255536,Link,Drive serve perform she phone international prevent two.,2022-02-20 15:20:30.219,199,442,93,2777,1012,72.53,42,Male,Grenada,far,18,196,8,kolla_356364
Facebook,49bc9b19-a4f6-4a83-b788-14ed8e09af1b,Image,Push serious movement evening.,2022-04-24 05:02:37.315,916,229,85,5444,4896,25.12,38,Other,Estonia,eat,974,2619,60,pogos_34
Facebook,cfc7d1a5-b07a-40fe-b338-950b946d5cee,Video,Office station century before foreign your.,2023-09-24 19:38:52.353,302,72,106,6733,980,48.98,65,Other,Mauritania,happy,114,90,279,Emma_344667
Facebook,a1e0a08e-39bf-400d-9727-80659ed48cf9,Link,Ability trial impact young technology.,2023-02-08 20:52:13.259,528,463,86,1418,1828,58.92,19,Other,Jersey,hotel,647,94,0,Emma_999
Facebook,5494fb7e-4346-437c-9773-338f874a4f66,Image,All guess really idea fact.,2023-12-16 17:33:00.010,326,132,25,8443,2806,17.21,64,Male,Belize,very,957,338,868,Jane_3568
Facebook,0d0f9b4d-126e-4312-97dd-e6faa38a8d31,Video,Stop tree cell camera mouth what.,2022-09-10 04:47:41.565,143,8,34,2360,3433,5.39,39,Male,Bolivia,major,597,299,1025,surru_3568
Facebook,c6cb57a4-30f0-4479-8faa-7c890dfe5b00,Link,Hope training life once.,2022-02-13 04:37:46.736,582,63,69,8207,2469,28.92,52,Other,Myanmar,speech,1559,63,9,don_hu_me_888
Facebook,ea63ee08-c599-4746-b39f-b81bc3298732,Video,Billion plant student station.,2021-08-30 08:41:25.076,230,194,33,2190,2516,18.16,50,Other,Cameroon,my,1692,106,205,John_2222
Facebook,c75ea54f-f00f-4603-ad88-c191dcc8efc2,Link,Training defense chair everybody light red say perform.,2023-01-12 22:38:48.296,587,171,84,6177,3293,25.57,28,Female,Bangladesh,itself,601,860,461,alexendra_342
Facebook,86f3aeb5-f558-4890-9db4-4164720e28da,Video,Hundred individual choose threat significant reduce market.,2024-02-19 03:11:08.440,631,219,22,6402,3751,23.25,22,Female,Guernsey,run,1607,143,1092,surru_6666
Facebook,d4223865-2170-4c37-a0ba-a29d2b5319e4,Link,Nothing later draw some some that.,2023-07-07 05:15:02.205,574,218,186,1429,2551,38.34,51,Male,Ukraine,or,1168,6,62,John_3333
Facebook,7c8dae4b-bc80-41c9-9c23-b263e22c70bc,Image,Look perform rest glass staff future.,2023-09-16 01:52:08.632,166,472,32,6799,3069,21.83,55,Female,Nauru,series,1293,220,148,surru_3333
Facebook,e45c23a8-16fa-42d4-92e0-f8881bc91e69,Video,Usually treatment conference may manage wait body.,2021-05-01 15:08:38.321,970,0,185,9140,3685,31.34,62,Female,Northern Mariana Islands,truth,2199,192,66,gunjkal_356364
Facebook,803fae3b-d23a-4d2d-a15b-129d19b66d6f,Image,Because civil leader scientist.,2021-07-11 18:37:34.573,755,102,59,8204,1971,46.47,48,Female,Brazil,picture,950,76,17,pokemon_4326
Facebook,d4137999-e1a8-47e0-9ec0-b4520b729488,Video,Miss wall whose serious natural.,2021-12-08 14:40:00.662,838,336,135,1487,1591,82.28,30,Other,Andorra,event,37,186,27,chappri_no__1989
Facebook,aa8a9f01-8dc2-4b47-bebd-b0d094d081a5,Video,Now box between.,2022-05-17 15:53:27.747,196,449,98,2354,1643,45.22,52,Male,Peru,product,562,195,104,Jane_4326
Facebook,64a02c3c-c0ed-4b2d-83e7-8c0dcb295023,Image,System this world table evening.,2022-11-26 19:29:09.244,103,299,125,4135,2389,22.06,36,Other,Montserrat,security,1515,42,276,anyway_6
Facebook,d5689b61-ca33-4a30-a2a0-1f7a80faa1a1,Video,Single central between.,2023-09-21 01:45:25.652,783,338,21,2365,1889,60.46,43,Male,Yemen,onto,558,129,58,pogos_888
Facebook,ce9e75ed-783a-49ca-b83a-c21ac1112307,Video,Describe listen admit successful.,2022-10-23 02:46:14.802,308,356,14,8841,3120,21.73,34,Male,Dominica,avoid,1443,180,204,pogos_3463346
Facebook,a67e9ded-6f65-4891-8b30-f8e41f3019a2,Video,Hope war book religious training hot.,2023-02-18 23:59:43.265,915,255,8,1504,1837,64.13,36,Female,Libyan Arab Jamahiriya,husband,461,63,82,Emma_3568
Facebook,69f491e0-9470-44a4-9b2b-c96870a04638,Link,Matter seven general what always poor.,2021-03-27 12:40:26.511,786,285,106,4373,3012,39.08,64,Female,Finland,risk,1811,16,1,Emma_4326
Facebook,64a591f9-8914-49fb-8d27-6496ade76e73,Video,Have focus front mother seek.,2022-11-04 23:58:04.680,333,155,153,2799,1046,61.28,26,Other,Egypt,season,288,13,69,Jane_634
Facebook,80a7927b-ff6f-4f69-a8f1-bfef35452a08,Image,Physical school material company Mrs wide candidate.,2023-02-17 23:01:24.918,479,177,11,7839,3198,20.86,20,Male,Greece,line,597,354,1010,pokemon_3463346
Facebook,4e94c5f4-3474-4127-ae22-4abee0a7bd9d,Video,News make religious.,2021-10-11 20:14:05.668,370,148,161,5971,4628,14.67,31,Other,Equatorial Guinea,outside,3625,137,155,anuj_2002
Facebook,baab2720-7ffd-402e-9639-77662ec40a02,Image,Popular poor measure phone need when just.,2021-06-22 20:42:34.018,595,314,191,5253,2466,44.61,41,Male,Pitcairn Islands,she,867,230,140,Daniel_344667
Facebook,9d213eaa-8228-4b57-bdc7-db64e3295163,Image,Difficult knowledge argue positive.,2022-03-23 06:16:21.375,923,354,108,9069,1990,69.6,33,Male,American Samoa,paper,489,20,63,surru_6586
Facebook,ac6ff5aa-8691-4c42-a6df-8eaf49a2afac,Video,Opportunity old full represent want into scientist.,2022-04-16 01:34:44.968,172,90,24,6099,1692,16.9,61,Other,Cayman Islands,probably,431,2,187,pokemon_555
Facebook,edbdbaab-bd6f-45e5-967f-69ad0297a20a,Link,When unit door final.,2021-12-05 09:54:08.550,734,435,112,5603,2972,43.1,19,Female,Germany,community,231,130,833,don_hu_me_999
Facebook,2436655a-fd41-4892-a556-e4cdb9e8c2da,Image,Pretty together remember partner education.,2022-03-18 01:16:56.663,346,118,52,8356,2025,25.48,60,Other,New Caledonia,not,553,923,23,kolla_777
Facebook,79752efe-a783-427c-b25d-e1150d0dee44,Link,Theory speech Democrat toward yeah.,2023-07-02 06:34:18.414,228,102,68,9616,3275,12.15,41,Male,Bermuda,general,2246,451,90,abhi_888
Facebook,7e739b62-8156-4eab-961e-89c1b68a4889,Image,Bed perhaps foreign movie data international.,2021-08-30 07:02:23.512,523,431,98,6152,3244,32.43,53,Female,British Virgin Islands,administration,1111,167,878,abhi_4326
Facebook,368ccc18-0a49-46a4-90a0-db04bc1b441d,Link,Dark food factor away lose.,2021-09-29 18:11:04.123,331,321,1,5395,3771,17.32,53,Male,Saint Helena,expect,1582,1245,49,Michael_344667
Facebook,fd839329-993f-4902-864e-96d0827fd7c2,Video,Center article improve kid all though trial.,2021-08-21 22:18:38.106,227,244,174,1138,3482,18.52,21,Other,Sri Lanka,adult,2176,500,59,abhi_1111
Facebook,37dee93e-dd1f-4278-bc72-c03354013766,Image,Direction enjoy shake director factor.,2023-06-14 16:39:44.814,660,212,176,3311,4978,21.05,30,Other,Kenya,turn,816,1533,393,John_888
Facebook,62830c28-8dac-4435-873f-54b22128c323,Link,Possible play environment us explain half approach.,2021-07-02 23:02:45.500,225,432,87,8422,2301,32.33,41,Female,Mauritius,bank,1453,45,9,don_hu_me_999
Facebook,f336365b-e537-43e8-a89e-9e2aa7dfbdac,Video,Skin beat none sort employee decade they.,2023-03-03 00:34:47.536,466,79,125,6127,2268,29.54,40,Female,Bouvet Island (Bouvetoya),remain,836,373,62,Emma_1111
Facebook,284f3688-5767-4d28-9cdf-cb483b35973b,Video,Instead yeah Congress collection wear.,2023-10-06 08:55:07.295,627,358,43,9008,1568,65.56,24,Female,Costa Rica,how,173,304,20,Christopher_2002
Facebook,abaefb8c-b325-4270-9360-d384858b624c,Video,Bag body hour threat.,2024-02-19 11:38:31.825,726,221,34,1954,2360,41.57,34,Male,Grenada,year,812,65,38,John_1999
Facebook,2807f26b-200c-4a01-b10b-81361a9d4e52,Image,Financial floor send.,2021-06-27 15:43:44.147,832,169,154,8609,3262,35.41,34,Male,Lithuania,structure,726,1220,152,alexendra_634
Facebook,242b63b4-89c5-4448-9d12-fd0f127dc381,Image,Admit happen local thing kid step site.,2021-07-09 01:05:25.111,155,187,147,4557,2994,16.33,65,Female,Denmark,might,802,290,1331,Daniel_3568
Facebook,4300ea27-946b-4118-8126-785d40d8fb94,Video,Particularly nice that born take.,2023-01-09 14:14:42.518,143,57,151,7623,2287,15.35,22,Other,Saint Vincent and the Grenadines,ten,1691,113,9,Emily_634
Facebook,029ff8cc-5535-4f13-b444-01839e3ee2e0,Image,Trouble high image population discuss physical security.,2021-12-30 21:58:18.041,341,302,101,4542,4639,16.04,30,Female,Malaysia,almost,671,2277,170,Sarah_342
Facebook,5a3f82f9-0680-4849-82de-9e85fd5b0ff6,Video,Total technology necessary heavy money mean.,2023-11-07 19:08:07.418,257,395,69,6939,4290,16.81,55,Female,Turks and Caicos Islands,item,1908,674,390,anyway_777
Facebook,f617681d-fec7-408c-a8d3-2b7a74db24b5,Image,Wide enjoy color at.,2021-05-07 15:22:38.335,380,356,32,8107,2708,28.36,18,Male,United Arab Emirates,fall,23,266,1,anuj_79
Facebook,393972ba-5d8b-43e7-b32e-3ccd073bef31,Video,Different happen result accept production paper consider.,2021-04-02 13:51:50.083,984,142,152,9562,1497,85.37,20,Other,Lesotho,Mrs,211,4,0,anuj_1999
Facebook,78f18c82-0f65-4160-9151-e56e0f0bd171,Image,Matter group pressure large.,2022-03-14 01:18:28.474,620,51,113,2322,4890,16.03,61,Female,United Arab Emirates,job,3510,517,13,huggies_2222
Facebook,3f1168ee-fa43-421e-9d4b-2d672bbb8d3d,Image,Democratic respond key record late institution.,2024-01-27 20:44:23.002,469,491,163,2762,4727,23.76,46,Other,Martinique,whole,372,1279,38,chappri_no__999
Facebook,802e3d46-5e55-444c-a9d6-1e7dd994f23f,Image,For born everyone bed.,2022-01-28 08:52:43.590,166,368,103,1112,4547,14.01,34,Female,Tonga,rich,677,1659,684,kolla_6586
Facebook,f99b9573-3045-4e08-a45c-bfba12738372,Video,Have song chance health page inside church.,2023-10-15 02:28:51.463,353,173,54,6114,3867,15.0,28,Male,Seychelles,piece,1787,1273,150,Michael_1999
Facebook,49792d7b-f082-43fb-889c-e718b8887933,Video,Buy state approach decide.,2023-11-29 21:35:09.339,792,244,141,2197,2560,45.98,64,Other,Uganda,account,1225,12,107,pokemon_2002
Facebook,c751ce3f-9eb3-48f8-a1bb-18b4c0f076ef,Link,Effort hope collection shoulder.,2022-12-24 12:51:12.130,62,473,104,6240,2009,31.81,60,Male,Luxembourg,cause,58,430,357,kolla_669
Facebook,e4f3c7a9-ef8e-4156-a9b1-b749e3aabc68,Image,Mother one maintain old offer door low.,2022-03-09 13:03:47.824,771,217,70,7035,3466,30.53,50,Male,French Guiana,break,1692,560,153,Daniel_79
Facebook,d0b34375-6be7-43cc-b356-f0343588bce5,Image,Care whose various.,2022-11-09 02:42:50.703,498,67,62,4886,2042,30.71,53,Female,Tunisia,across,1240,158,6,Sarah_2002
Facebook,89f6dc27-64e8-451f-9cc8-c60b90245879,Video,Edge city participant media late.,2023-12-18 04:24:01.976,826,496,52,5073,4941,27.81,27,Other,Egypt,learn,1343,1379,590,huggies_342
Facebook,4cfc40a0-9d82-4a59-919a-8489cbaddaca,Link,Forward and report end.,2023-10-14 04:53:14.090,966,344,107,8039,3160,44.84,62,Other,American Samoa,and,1685,50,5,Olivia_34
Facebook,a2af2c22-08a7-4269-b8cd-576eac4b084f,Video,Station most gas support.,2021-03-27 21:52:25.378,188,325,8,2785,4409,11.82,40,Other,Indonesia,leave,1192,228,1725,Olivia_1989
Facebook,79c782e9-d5ac-45e8-8050-8f91ea973866,Image,Together rate thing forward lawyer mother.,2022-10-31 23:16:30.699,318,128,162,1692,4003,15.19,61,Male,Trinidad and Tobago,around,523,54,1890,pokemon_6
Facebook,cda42959-1c62-4cbb-8e19-4ce2aae3ff90,Image,Show note necessary yes.,2024-02-05 04:10:06.623,751,234,146,3083,4232,26.72,42,Other,Saint Martin,report,2360,653,61,Jane_634
Facebook,7888a2ee-18f6-40c9-8801-a8c42c4f5dd4,Video,Soldier however time someone recently executive.,2021-07-27 14:39:16.348,695,424,82,3323,2303,52.15,36,Other,Taiwan,until,381,490,186,Emma_999
Facebook,f0c901b3-e7ee-4879-a05b-42a86558bbba,Video,Professional seven matter.,2022-06-11 01:25:04.864,120,471,60,7637,2035,31.99,60,Male,San Marino,plan,244,318,427,Emily_888
Facebook,f5b40169-132b-4b90-a5dc-0b4823153fd9,Image,Full option car and.,2021-06-30 06:02:14.436,73,435,7,1974,3273,15.73,45,Other,Western Sahara,study,1259,36,111,Jane_634
Facebook,1fca60f1-8d6c-4242-b3be-679cf806ea5a,Link,Agree key live cost down step.,2021-09-04 19:19:24.306,899,477,7,1302,4669,29.62,42,Female,Andorra,member,2763,175,110,silver_saint_34
Facebook,a138c9a9-f077-4b22-ae6f-f04c3cc9c960,Video,Than indicate listen deal water step me.,2023-08-20 19:10:59.653,477,15,9,3831,1210,41.4,29,Female,Costa Rica,push,158,300,165,pogos_6666
Facebook,f1927434-6989-4abd-b3dc-dd4b9d1da572,Video,So government decide number man difference.,2022-11-02 00:10:27.958,537,288,120,5966,2093,45.15,35,Female,Algeria,occur,181,598,208,Emily_6586
Facebook,cc01f578-4910-485e-a4b6-5abff8e627b3,Link,Another of ground type down tough final.,2023-08-18 13:30:38.954,182,256,117,3379,1831,30.31,50,Male,Guatemala,me,661,533,56,anyway_1989
Facebook,d0ad208c-7584-4bda-81e7-6ea1a8168b3b,Video,Focus carry life history still.,2023-07-22 00:05:37.884,154,28,5,1613,1611,11.61,18,Female,American Samoa,stay,192,243,450,Jane_1999
Facebook,c9ce786d-3f3b-48b7-9a2a-b5fc6d785417,Video,Major what through machine guess conference bill.,2021-09-11 18:02:30.656,801,282,173,9679,2148,58.47,43,Female,British Indian Ocean Territory (Chagos Archipelago),treat,112,314,37,abhi_634
Facebook,daa5695e-7aa6-4aa1-8aff-aab66269d075,Video,Yes police hair can either service.,2023-01-06 07:22:02.945,641,1,103,1427,2708,27.51,43,Female,Macao,medical,1129,238,419,abhi_6
Facebook,23cfcd39-3863-4fc1-b33c-ff0a3735cbdc,Link,Charge alone deal big public experience.,2022-04-20 14:07:00.582,243,313,47,5726,3300,18.27,49,Other,Seychelles,reveal,278,2189,32,kolla_6666
Facebook,3ef758a5-73dc-463d-8203-65cdcbc1244d,Image,Available let stay them close.,2023-03-15 09:57:45.669,564,38,96,3797,1509,46.26,64,Other,Namibia,strong,736,28,38,John_1999
Facebook,b86eba7a-36e0-4ce3-a3af-d08404421afa,Link,Remember instead others.,2021-07-10 09:38:57.374,213,222,108,9900,929,58.45,28,Other,French Polynesia,offer,107,222,22,Christopher_79
Facebook,9cf14b03-1390-4131-af77-2652eb0feaf8,Image,Guy chance five say between court.,2021-06-27 21:51:29.895,184,456,153,4481,1214,65.32,52,Male,Nauru,number,336,5,57,Daniel_1111
Facebook,89c64a46-f943-455a-ad5e-f1ca99e5aeec,Video,Eight free whom attorney let them far.,2023-04-24 03:42:54.082,18,178,26,6239,3099,7.16,39,Other,Austria,sound,483,1122,68,anyway_1989
Facebook,6ce9f189-79fa-4cb8-af2e-3d53998151c7,Link,Accept a visit relationship.,2021-12-25 14:19:53.066,550,55,196,9952,3184,25.16,29,Other,Turks and Caicos Islands,check,2006,141,191,abhi_1111
Facebook,9bb1ffd8-7c03-4f8d-9c7a-a32eb380c587,Image,Environment wind spring personal human single.,2022-07-05 06:14:04.696,306,297,49,8957,2107,30.94,53,Female,Palestinian Territory,whatever,1017,33,286,John_4326
Facebook,4d6160f7-b4b3-4b2d-820f-a7be5dea20b9,Image,System education turn reflect talk.,2023-08-11 15:17:32.545,539,362,24,3910,2670,34.64,37,Other,Suriname,clear,1444,61,100,silver_saint_26
Facebook,dd65da7e-b7b6-43bd-b753-1156c7a7b459,Video,Including produce offer think.,2022-08-06 01:41:22.578,940,44,94,3543,1696,63.56,23,Female,Oman,meet,172,226,33,abhi_669
Facebook,7e4b5ddc-3549-4a39-920b-f216b57abd13,Link,Relationship no suddenly team stop.,2022-04-01 04:43:13.087,704,9,103,8491,3857,21.16,51,Male,Zambia,example,226,2814,1,David_1111
Facebook,49047559-a641-4c32-8ffa-8de52ec627ef,Image,Let whole off summer contain everybody administration.,2023-05-27 04:58:32.048,871,442,128,4008,3248,44.37,26,Other,Mexico,discuss,1390,239,84,alexendra_1999
Facebook,c93c531d-e271-4302-8de7-6f8545a89eaa,Video,Hear dark one size.,2022-08-15 09:43:06.738,908,95,92,9243,4930,22.21,64,Other,Montserrat,back,2278,1274,83,Christopher_1999
Facebook,49991b3f-eed9-48e4-94c2-275e5dd11ecd,Link,Once plant plan enter station.,2023-08-05 12:08:45.119,140,205,123,6323,1666,28.09,61,Female,Antigua and Barbuda,material,827,349,1,Olivia_4
Facebook,655ae252-75eb-4486-9992-154ae10cb99a,Link,Detail personal product something social nearly.,2021-09-11 15:59:02.959,528,300,127,3346,4980,19.18,48,Male,Kiribati,city,2901,427,322,David_6
Facebook,10fe3055-719d-4b71-8fbc-a3804e89c6d7,Image,Program community billion professional himself shoulder.,2023-11-09 03:24:29.866,951,212,16,7842,1653,71.32,21,Female,British Virgin Islands,standard,213,58,12,Daniel_634
Facebook,64f5db2f-bf64-4221-85df-164fd29b6562,Video,Film including should public will.,2022-07-16 03:27:23.636,420,296,110,3393,4792,17.24,21,Other,Suriname,trouble,3965,0,1,don_hu_me_555
Facebook,a9111ff7-6cbe-47cf-b945-6eeabaa2f0f3,Image,Other age upon manage machine station.,2021-05-02 21:17:12.865,324,245,193,9983,3619,21.06,47,Other,Myanmar,institution,1182,695,255,Emily_34
Facebook,445c77ec-0d0b-417e-8e50-019022632d7e,Video,Despite book happen outside table five.,2022-12-30 12:03:45.679,839,236,98,7086,3988,29.41,41,Other,Gibraltar,everybody,2237,5,253,alexendra_6586
Facebook,1d726919-d794-42bd-8530-44bf20a6f704,Video,Foot behind high bad process civil.,2023-07-07 14:52:15.193,176,202,94,6380,1212,38.94,20,Female,Turkmenistan,maintain,29,491,43,David_3586
Facebook,e3869925-5789-4917-924d-062e0e0cdfda,Link,Include Mr surface agreement activity them.,2024-01-03 10:59:52.243,269,14,111,7212,3490,11.29,60,Female,Denmark,of,2978,37,31,Emma_6586
Facebook,b02723f8-3907-477f-9212-67b997a4cce9,Video,Necessary mind member serve.,2022-05-09 12:38:58.884,456,260,165,6029,3171,27.78,20,Female,Dominican Republic,ever,594,311,249,chappri_no__4326
Facebook,1a9ab9bf-d72e-4226-a99f-b49f97f01156,Link,Ten throw decade cause this school change.,2023-05-26 15:19:24.774,591,299,2,3282,1407,63.4,34,Other,Lithuania,end,455,7,27,alexendra_344667
Facebook,db8a8470-51cc-4b90-aaec-a08d7f806d93,Link,Race group method especially five education a.,2023-11-25 20:07:11.301,765,306,0,1954,4412,24.27,62,Female,Tajikistan,another,2384,875,35,Christopher_999
Facebook,625be4fc-2ac5-4ec6-8748-dd0cc26ef0d9,Image,Wide how view treatment car his cut minute.,2023-09-13 22:30:38.483,840,0,149,6929,4572,21.63,56,Other,Eritrea,culture,3299,17,226,abhi_6666
Facebook,1f187df3-f692-42fb-a542-96e131b192bb,Link,Purpose likely walk know four.,2022-11-04 20:42:55.174,702,38,101,2720,2770,30.36,56,Male,Timor-Leste,one,1508,388,4,Michael_888
Facebook,9f235478-aa3f-4766-b272-ab0ec9bc8203,Link,Manage some vote agency recent within.,2023-05-02 00:47:15.921,807,286,172,7795,2869,44.09,23,Male,Tuvalu,identify,621,297,555,Michael_2002
Facebook,7432caf7-56ec-43ee-8bf4-2be03ce72c44,Link,Capital campaign this gas if state loss.,2023-04-12 07:55:55.289,998,262,99,1089,1740,78.1,45,Female,Cambodia,view,368,5,0,Michael_4
Facebook,8cfd74b3-ac45-4f8a-93dd-d5f729aa22f1,Link,Stage region student shoulder ago wonder air.,2022-02-15 20:48:40.566,74,179,26,6888,1582,17.64,22,Male,Ghana,physical,69,532,530,anuj_6
Facebook,cab3cd30-121d-4d9d-8246-676c704b1ab7,Link,Point word himself yard poor.,2021-05-15 08:25:45.766,393,368,120,7505,1727,51.01,21,Other,Cote d'Ivoire,eat,775,61,4,anuj_342
Facebook,9d1c2b10-586c-4534-83ee-2c757335a5d9,Link,Though center stop cultural point.,2021-05-17 09:13:57.767,193,311,11,6503,3278,15.71,27,Male,Saint Barthelemy,half,938,1583,126,Jane_2222
Facebook,c315e79c-ead7-43b7-8f83-ab6e845f3754,Link,Order against sign surface election.,2022-09-21 09:43:17.506,972,421,200,1364,3367,47.31,38,Male,Maldives,yeah,52,286,737,alexendra_4
Facebook,f55a44c0-9e52-45d2-b766-3e300ee44245,Video,Get degree hotel star.,2023-07-10 07:05:20.677,482,295,13,2630,957,82.55,53,Male,Poland,have,78,16,2,Sarah_3463346
Facebook,921a6f78-26a8-45b1-a297-4dd6462c3311,Link,Bed play really name more school.,2021-06-20 20:04:01.703,172,43,188,1973,3330,12.1,56,Other,Solomon Islands,music,2379,171,192,gunjkal_555
Facebook,83c51ab6-32a9-4f31-ba26-01e169cce172,Image,Study him friend environmental.,2022-10-16 08:51:09.237,426,195,126,9478,3607,20.71,47,Male,Norway,wrong,313,1070,648,Christopher_2002
Facebook,21111b73-2954-4903-81ef-3428d2a7ce86,Image,Significant simply product street small discussion right road.,2023-08-23 20:26:00.812,207,421,95,3080,3815,18.95,54,Other,Kenya,let,1248,1148,160,Sarah_6
Facebook,1c19af6b-13fa-4fb7-8f92-2ce39a6b5585,Video,Street so class husband call.,2022-01-02 04:54:53.583,697,217,28,7310,3011,31.29,59,Male,Colombia,within,1813,216,21,silver_saint_4444
